"variable","value","procs"
"computeTime",0.024712,32
"computeTime",0.025095,32
"computeTime",0.025482,32
"computeTime",0.02593,32
"computeTime",0.026348,32
"computeTime",0.026852,32
"computeTime",0.027308,32
"computeTime",0.027743,32
"computeTime",0.028185,32
"computeTime",0.028631,32
"computeTime",0.029054,32
"computeTime",0.029518,32
"computeTime",0.030008,32
"computeTime",0.030299,32
"computeTime",0.030636,32
"computeTime",0.030968,32
"computeTime",0.03127,32
"computeTime",0.031572,32
"computeTime",0.031876,32
"computeTime",0.032199,32
"computeTime",0.032513,32
"computeTime",0.032821,32
"computeTime",0.033107,32
"computeTime",0.033407,32
"computeTime",0.033696,32
"computeTime",0.033986,32
"computeTime",0.034278,32
"computeTime",0.026507,32
"computeTime",0.023967,32
"computeTime",0.02432,32
"computeTime",0.024679,32
"computeTime",0.025086,32
"computeTime",0.025453,32
"computeTime",0.025821,32
"computeTime",0.026195,32
"computeTime",0.026606,32
"computeTime",0.027034,32
"computeTime",0.027522,32
"computeTime",0.02796,32
"computeTime",0.028415,32
"computeTime",0.028822,32
"computeTime",0.029222,32
"computeTime",0.029676,32
"computeTime",0.030187,32
"computeTime",0.030673,32
"computeTime",0.031004,32
"computeTime",0.031296,32
"computeTime",0.031629,32
"computeTime",0.031931,32
"computeTime",0.032234,32
"computeTime",0.032536,32
"computeTime",0.032869,32
"computeTime",0.033178,32
"computeTime",0.033484,32
"computeTime",0.033767,32
"computeTime",0.034063,32
"computeTime",0.034355,32
"computeTime",0.034652,32
"computeTime",0.034945,32
"computeTime",0.02732,32
"computeTime",0.023196,32
"computeTime",0.023545,32
"computeTime",0.023911,32
"computeTime",0.024302,32
"computeTime",0.024683,32
"computeTime",0.025072,32
"computeTime",0.02547,32
"computeTime",0.025914,32
"computeTime",0.026354,32
"computeTime",0.026806,32
"computeTime",0.027237,32
"computeTime",0.02769,32
"computeTime",0.028103,32
"computeTime",0.028517,32
"computeTime",0.028939,32
"computeTime",0.029404,32
"computeTime",0.030003,32
"computeTime",0.030295,32
"computeTime",0.030588,32
"computeTime",0.030921,32
"computeTime",0.03122,32
"computeTime",0.031516,32
"computeTime",0.031836,32
"computeTime",0.032159,32
"computeTime",0.032472,32
"computeTime",0.03277,32
"computeTime",0.033052,32
"computeTime",0.033346,32
"computeTime",0.033639,32
"computeTime",0.03393,32
"computeTime",0.034254,32
"computeTime",0.026496,32
"computeTime",0.023206,32
"computeTime",0.023554,32
"computeTime",0.023907,32
"computeTime",0.024298,32
"computeTime",0.024676,32
"computeTime",0.025054,32
"computeTime",0.025428,32
"computeTime",0.025874,32
"computeTime",0.02633,32
"computeTime",0.026809,32
"computeTime",0.027247,32
"computeTime",0.027689,32
"computeTime",0.028142,32
"computeTime",0.028544,32
"computeTime",0.02892,32
"computeTime",0.02933,32
"computeTime",0.029881,32
"computeTime",0.030189,32
"computeTime",0.030486,32
"computeTime",0.03082,32
"computeTime",0.031118,32
"computeTime",0.031434,32
"computeTime",0.031733,32
"computeTime",0.032062,32
"computeTime",0.032377,32
"computeTime",0.032685,32
"computeTime",0.032981,32
"computeTime",0.033283,32
"computeTime",0.033578,32
"computeTime",0.03387,32
"computeTime",0.034185,32
"computeTime",0.026524,32
"computeTime",0.0233,32
"computeTime",0.023651,32
"computeTime",0.024011,32
"computeTime",0.024406,32
"computeTime",0.024769,32
"computeTime",0.025164,32
"computeTime",0.025548,32
"computeTime",0.025966,32
"computeTime",0.026404,32
"computeTime",0.026927,32
"computeTime",0.027344,32
"computeTime",0.027799,32
"computeTime",0.028232,32
"computeTime",0.028683,32
"computeTime",0.029103,32
"computeTime",0.029505,32
"computeTime",0.030038,32
"computeTime",0.030326,32
"computeTime",0.030623,32
"computeTime",0.030976,32
"computeTime",0.031276,32
"computeTime",0.031583,32
"computeTime",0.031885,32
